dataset,sample_key,neural_source,audio_or_envelope,story,pairing,status,reason
ds004703,sub-SD010_ses-01_task-PassiveListen__trial-0,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/sub-SD010/ses-01/ieeg/sub-SD010_ses-01_task-PassiveListen_ieeg.edf,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/welcome_normed.wav,welcome,METADATA_ONLY,EXCLUDED,CONTROL_NOT_PASSAGE
ds004703,sub-SD010_ses-01_task-PassiveListen__trial-1,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/sub-SD010/ses-01/ieeg/sub-SD010_ses-01_task-PassiveListen_ieeg.edf,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/instructions1_normed.wav,instructions1,METADATA_ONLY,EXCLUDED,CONTROL_NOT_PASSAGE
ds004703,sub-SD010_ses-01_task-PassiveListen__trial-2,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/sub-SD010/ses-01/ieeg/sub-SD010_ses-01_task-PassiveListen_ieeg.edf,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/instructions3_normed.wav,instructions3,METADATA_ONLY,EXCLUDED,CONTROL_NOT_PASSAGE
ds004703,sub-SD010_ses-01_task-PassiveListen__trial-3,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/sub-SD010/ses-01/ieeg/sub-SD010_ses-01_task-PassiveListen_ieeg.edf,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/excerpts/Block 1/s3602b-ex01_normed.wav,s3602b-ex01,METADATA_ONLY,PASS_WITH_LIMITATION,
ds004703,sub-SD010_ses-01_task-PassiveListen__trial-4,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/sub-SD010/ses-01/ieeg/sub-SD010_ses-01_task-PassiveListen_ieeg.edf,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/pleasePressSpace_normed.wav,pleasePressSpace,METADATA_ONLY,EXCLUDED,CONTROL_NOT_PASSAGE
ds004703,sub-SD010_ses-01_task-PassiveListen__trial-5,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/sub-SD010/ses-01/ieeg/sub-SD010_ses-01_task-PassiveListen_ieeg.edf,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/excerpts/Block 1/catalan-m01_normed.wav,catalan-m01,METADATA_ONLY,EXCLUDED,CATALAN_PLAYED_AUDIO_PROVENANCE_CONFLICT;AUDIO_TEMPLATE_DURATION
ds004703,sub-SD010_ses-01_task-PassiveListen__trial-6,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/sub-SD010/ses-01/ieeg/sub-SD010_ses-01_task-PassiveListen_ieeg.edf,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/excerpts/Block 1/s4002b-ex01_normed.wav,s4002b-ex01,METADATA_ONLY,PASS_WITH_LIMITATION,
ds004703,sub-SD010_ses-01_task-PassiveListen__trial-7,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/sub-SD010/ses-01/ieeg/sub-SD010_ses-01_task-PassiveListen_ieeg.edf,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/excerpts/Block 1/s3001b-ex01_normed.wav,s3001b-ex01,METADATA_ONLY,PASS_WITH_LIMITATION,
ds004703,sub-SD010_ses-01_task-PassiveListen__trial-8,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/sub-SD010/ses-01/ieeg/sub-SD010_ses-01_task-PassiveListen_ieeg.edf,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/excerpts/Block 1/s1401a-ex01_normed.wav,s1401a-ex01,METADATA_ONLY,PASS_WITH_LIMITATION,
ds004703,sub-SD010_ses-01_task-PassiveListen__trial-9,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/sub-SD010/ses-01/ieeg/sub-SD010_ses-01_task-PassiveListen_ieeg.edf,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/excerpts/Block 1/s1303a-ex01_normed.wav,s1303a-ex01,METADATA_ONLY,PASS_WITH_LIMITATION,
ds004703,sub-SD010_ses-01_task-PassiveListen__trial-10,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/sub-SD010/ses-01/ieeg/sub-SD010_ses-01_task-PassiveListen_ieeg.edf,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/excerpts/Block 1/s2102a-ex01_normed.wav,s2102a-ex01,METADATA_ONLY,PASS_WITH_LIMITATION,
ds004703,sub-SD010_ses-01_task-PassiveListen__trial-11,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/sub-SD010/ses-01/ieeg/sub-SD010_ses-01_task-PassiveListen_ieeg.edf,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/excerpts/Block 1/s2301a-ex01_normed.wav,s2301a-ex01,METADATA_ONLY,PASS_WITH_LIMITATION,
ds004703,sub-SD010_ses-01_task-PassiveListen__trial-12,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/sub-SD010/ses-01/ieeg/sub-SD010_ses-01_task-PassiveListen_ieeg.edf,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/excerpts/Block 1/s1901b-ex01_normed.wav,s1901b-ex01,METADATA_ONLY,PASS_WITH_LIMITATION,
ds004703,sub-SD010_ses-01_task-PassiveListen__trial-13,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/sub-SD010/ses-01/ieeg/sub-SD010_ses-01_task-PassiveListen_ieeg.edf,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/excerpts/Block 2/s3301a-ex01_normed.wav,s3301a-ex01,METADATA_ONLY,PASS_WITH_LIMITATION,
