dataset,path,story,sample_rate,frames,channels,duration_s
ds004703,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/catalan-f01_normed.wav,catalan-f01,44100,151842,1,3.44312925170068
ds004703,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/catalan-f01_question_normed.wav,catalan-f01_question,44100,167258,1,3.792698412698413
ds004703,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/catalan-f02_normed.wav,catalan-f02,44100,151842,1,3.44312925170068
ds004703,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/catalan-f02_question_normed.wav,catalan-f02_question,44100,167258,1,3.792698412698413
ds004703,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/catalan-f03_normed.wav,catalan-f03,44100,151842,1,3.44312925170068
ds004703,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/catalan-f03_question_normed.wav,catalan-f03_question,44100,167258,1,3.792698412698413
ds004703,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/catalan-m01_normed.wav,catalan-m01,44100,151842,1,3.44312925170068
ds004703,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/catalan-m01_question_normed.wav,catalan-m01_question,44100,167258,1,3.792698412698413
ds004703,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/catalan-m02_normed.wav,catalan-m02,44100,151842,1,3.44312925170068
ds004703,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/catalan-m02_question_normed.wav,catalan-m02_question,44100,167258,1,3.792698412698413
ds004703,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/catalan-m03_normed.wav,catalan-m03,44100,2242634,1,50.853378684807254
ds004703,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/catalan-m03_question_normed.wav,catalan-m03_question,44100,167258,1,3.792698412698413
ds004703,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/instructions1_normed.wav,instructions1,44100,1553238,1,35.22081632653061
ds004703,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/instructions2_clipped_normed.wav,instructions2_clipped,44100,663774,2,15.05156462585034
ds004703,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/instructions2_normed.wav,instructions2,44100,936392,1,21.233378684807256
ds004703,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/instructions3_normed.wav,instructions3,44100,275543,1,6.248140589569161
ds004703,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/pleasePressSpace_normed.wav,pleasePressSpace,44100,151842,1,3.44312925170068
ds004703,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/s0102b-ex01_question_normed.wav,s0102b-ex01_question,44100,168277,1,3.8158049886621317
ds004703,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/s0202a-ex01_question_normed.wav,s0202a-ex01_question,44100,197365,1,4.4753968253968255
ds004703,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/s0202b-ex01_normed.wav,s0202b-ex01,44100,2510081,1,56.91793650793651
ds004703,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/s0202b-ex01_question_normed.wav,s0202b-ex01_question,44100,196097,1,4.446643990929705
ds004703,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/s0203b-ex01_normed.wav,s0203b-ex01,44100,1894158,1,42.95142857142857
ds004703,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/s0203b-ex01_question_normed.wav,s0203b-ex01_question,44100,205745,1,4.665419501133787
ds004703,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/s0302b-ex01_question_normed.wav,s0302b-ex01_question,44100,187675,1,4.255668934240362
ds004703,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/s0305a-ex01_normed.wav,s0305a-ex01,44100,1918675,1,43.50736961451247
ds004703,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/s0305a-ex01_question_normed.wav,s0305a-ex01_question,44100,229986,1,5.215102040816326
ds004703,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/s0501a-ex01_question_normed.wav,s0501a-ex01_question,44100,311471,1,7.062834467120181
ds004703,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/s0501a-ex02_question_normed.wav,s0501a-ex02_question,44100,212502,1,4.818639455782313
ds004703,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/s0601a-ex01_question_normed.wav,s0601a-ex01_question,44100,204446,1,4.635963718820862
ds004703,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/s0602b-ex01_question_normed.wav,s0602b-ex01_question,44100,183541,1,4.161927437641723
ds004703,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/s0702a-ex01_normed.wav,s0702a-ex01,44100,1343385,1,30.462244897959184
ds004703,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/s0702a-ex01_question_normed.wav,s0702a-ex01_question,44100,157939,1,3.5813832199546485
ds004703,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/s0703b-ex01_normed.wav,s0703b-ex01,44100,1721430,1,39.03469387755102
ds004703,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/s0703b-ex01_question_normed.wav,s0703b-ex01_question,44100,136798,1,3.1019954648526076
ds004703,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/s0802b-ex01_normed.wav,s0802b-ex01,44100,1322702,1,29.993242630385488
ds004703,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/s0802b-ex01_question_normed.wav,s0802b-ex01_question,44100,195677,1,4.437120181405896
ds004703,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/s0901b-ex01_normed.wav,s0901b-ex01,44100,1604187,1,36.376122448979594
ds004703,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/s0901b-ex01_question_normed.wav,s0901b-ex01_question,44100,216819,1,4.916530612244898
ds004703,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/s1001a-ex01_normed.wav,s1001a-ex01,44100,1837705,1,41.67131519274376
ds004703,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/s1001a-ex01_question_normed.wav,s1001a-ex01_question,44100,147709,1,3.3494104308390025
ds004703,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/s1103a-ex01_normed.wav,s1103a-ex01,44100,2411948,1,54.69269841269841
ds004703,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/s1103a-ex01_question_normed.wav,s1103a-ex01_question,44100,160440,1,3.638095238095238
ds004703,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/s1201a-ex01_normed.wav,s1201a-ex01,44100,1523961,1,34.556938775510204
ds004703,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/s1201a-ex01_question_normed.wav,s1201a-ex01_question,44100,137025,1,3.107142857142857
ds004703,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/s1202b-ex01_normed.wav,s1202b-ex01,44100,1520485,1,34.4781179138322
ds004703,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/s1202b-ex01_question_normed.wav,s1202b-ex01_question,44100,153847,1,3.48859410430839
ds004703,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/s1203a-ex01_normed.wav,s1203a-ex01,44100,1501980,1,34.05850340136055
ds004703,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/s1203a-ex01_question_normed.wav,s1203a-ex01_question,44100,180219,1,4.086598639455782
ds004703,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/s1303a-ex01_normed.wav,s1303a-ex01,44100,1508923,1,34.2159410430839
ds004703,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/s1303a-ex01_question_normed.wav,s1303a-ex01_question,44100,220683,1,5.004149659863946
ds004703,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/s1303a-ex02_normed.wav,s1303a-ex02,44100,1294117,1,29.345056689342403
ds004703,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/s1303a-ex02_question_normed.wav,s1303a-ex02_question,44100,295021,1,6.689818594104309
ds004703,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/s1401a-ex01_normed.wav,s1401a-ex01,44100,1556030,1,35.284126984126985
ds004703,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/s1401a-ex01_question_normed.wav,s1401a-ex01_question,44100,170897,1,3.8752154195011337
ds004703,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/s1401a-ex02_normed.wav,s1401a-ex02,44100,1613285,1,36.582426303854874
ds004703,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/s1401a-ex02_question_normed.wav,s1401a-ex02_question,44100,169079,1,3.8339909297052155
ds004703,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/s1401b-ex01_normed.wav,s1401b-ex01,44100,2400666,1,54.43687074829932
ds004703,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/s1401b-ex01_question_normed.wav,s1401b-ex01_question,44100,151347,1,3.431904761904762
ds004703,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/s1501a-ex01_normed.wav,s1501a-ex01,44100,1902405,1,43.13843537414966
ds004703,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/s1501a-ex01_question_normed.wav,s1501a-ex01_question,44100,170407,1,3.8641043083900226
ds004703,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/s1503a-ex01_normed.wav,s1503a-ex01,44100,743333,1,16.85562358276644
ds004703,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/s1503a-ex01_question_normed.wav,s1503a-ex01_question,44100,169988,1,3.8546031746031746
ds004703,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/s1503a-ex02_normed.wav,s1503a-ex02,44100,1217788,1,27.614240362811792
ds004703,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/s1503a-ex02_question_normed.wav,s1503a-ex02_question,44100,151347,1,3.431904761904762
ds004703,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/s1503a-ex03_question_normed.wav,s1503a-ex03_question,44100,201815,1,4.576303854875284
ds004703,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/s1604a-ex01_normed.wav,s1604a-ex01,44100,2044636,1,46.363628117913834
ds004703,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/s1604a-ex01_question_normed.wav,s1604a-ex01_question,44100,194086,1,4.401043083900227
ds004703,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/s1702b-ex01_normed.wav,s1702b-ex01,44100,1826765,1,41.42324263038549
ds004703,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/s1702b-ex01_question_normed.wav,s1702b-ex01_question,44100,200679,1,4.550544217687075
ds004703,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/s1703b-ex01_normed.wav,s1703b-ex01,44100,2359389,1,53.5008843537415
ds004703,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/s1703b-ex01_question_normed.wav,s1703b-ex01_question,44100,171579,1,3.8906802721088436
ds004703,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/s1901a-ex01_question_normed.wav,s1901a-ex01_question,44100,127023,1,2.880340136054422
ds004703,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/s1901b-ex01_normed.wav,s1901b-ex01,44100,1648794,1,37.38761904761905
ds004703,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/s1901b-ex01_question_normed.wav,s1901b-ex01_question,44100,180218,1,4.086575963718821
