path,category,expected_bytes,actual_bytes,status
.bidsignore,metadata_or_other,56,56,SIZE_MATCH
.datalad/config,metadata_or_other,63,63,SIZE_MATCH
.gitattributes,metadata_or_other,385,385,SIZE_MATCH
CHANGES,metadata_or_other,76,76,SIZE_MATCH
README,metadata_or_other,1481,1481,SIZE_MATCH
dataset_description.json,metadata_or_other,314,314,SIZE_MATCH
participants.tsv,metadata_or_other,217,217,SIZE_MATCH
stimuli/Passive Listening iEEG Protocol.docx,metadata_or_other,16029,16029,SIZE_MATCH
stimuli/Passive-Listening_iEEG_v3.py,metadata_or_other,14021,14021,SIZE_MATCH
stimuli/Passive-Listening_iEEG_v3.pyc,metadata_or_other,12812,12812,SIZE_MATCH
stimuli/add_duration.ipynb,metadata_or_other,2993,2993,SIZE_MATCH
stimuli/all_df.csv,metadata_or_other,1471116,1471116,SIZE_MATCH
stimuli/all_stimuli/catalan-f01_normed.wav,audio,303728,303728,SIZE_MATCH
stimuli/all_stimuli/catalan-f01_question_normed.wav,audio,334560,334560,SIZE_MATCH
stimuli/all_stimuli/catalan-f02_normed.wav,audio,303728,303728,SIZE_MATCH
stimuli/all_stimuli/catalan-f02_question_normed.wav,audio,334560,334560,SIZE_MATCH
stimuli/all_stimuli/catalan-f03_normed.wav,audio,303728,303728,SIZE_MATCH
stimuli/all_stimuli/catalan-f03_question_normed.wav,audio,334560,334560,SIZE_MATCH
stimuli/all_stimuli/catalan-m01_normed.wav,audio,303728,303728,SIZE_MATCH
stimuli/all_stimuli/catalan-m01_question_normed.wav,audio,334560,334560,SIZE_MATCH
stimuli/all_stimuli/catalan-m02_normed.wav,audio,303728,303728,SIZE_MATCH
stimuli/all_stimuli/catalan-m02_question_normed.wav,audio,334560,334560,SIZE_MATCH
stimuli/all_stimuli/catalan-m03_normed.wav,audio,4485312,4485312,SIZE_MATCH
stimuli/all_stimuli/catalan-m03_question_normed.wav,audio,334560,334560,SIZE_MATCH
stimuli/all_stimuli/instructions1_normed.wav,audio,3106520,3106520,SIZE_MATCH
stimuli/all_stimuli/instructions2_clipped_normed.wav,audio,2655140,2655140,SIZE_MATCH
stimuli/all_stimuli/instructions2_normed.wav,audio,1872828,1872828,SIZE_MATCH
stimuli/all_stimuli/instructions3_normed.wav,audio,551130,551130,SIZE_MATCH
stimuli/all_stimuli/pleasePressSpace_normed.wav,audio,303728,303728,SIZE_MATCH
stimuli/all_stimuli/s0102b-ex01_question_normed.wav,audio,336598,336598,SIZE_MATCH
stimuli/all_stimuli/s0202a-ex01_question_normed.wav,audio,394774,394774,SIZE_MATCH
stimuli/all_stimuli/s0202b-ex01_normed.wav,audio,5020206,5020206,SIZE_MATCH
stimuli/all_stimuli/s0202b-ex01_question_normed.wav,audio,392238,392238,SIZE_MATCH
stimuli/all_stimuli/s0203b-ex01_normed.wav,audio,3788360,3788360,SIZE_MATCH
stimuli/all_stimuli/s0203b-ex01_question_normed.wav,audio,411534,411534,SIZE_MATCH
stimuli/all_stimuli/s0302b-ex01_question_normed.wav,audio,375394,375394,SIZE_MATCH
stimuli/all_stimuli/s0305a-ex01_normed.wav,audio,3837394,3837394,SIZE_MATCH
